latitude,longitude,height
27.920138888929,86.969861111421,5433.0
27.920138888929,86.970138889199,5484.0
27.920138888929,86.970416666977,5514.0
27.920138888929,86.970694444755,5535.0
27.920138888929,86.970972222533,5572.0
27.920138888929,86.971250000311,5600.0
27.920138888929,86.971527778089,5616.0
27.920138888929,86.971805555867,5640.0
27.920138888929,86.972083333645,5664.0
27.920138888929,86.972361111423,5684.0
27.920138888929,86.972638889201,5701.0
27.920138888929,86.972916666979,5717.0
27.920138888929,86.973194444757,5736.0
27.920138888929,86.973472222535,5769.0
27.920138888929,86.973750000313,5826.0
27.920138888929,86.974027778091,5881.0
27.920138888929,86.974305555869,5920.0
27.920138888929,86.974583333647,5954.0
27.920138888929,86.974861111425,5991.0
27.920138888929,86.975138889203,6033.0
27.920138888929,86.975416666981,6079.0
27.920138888929,86.975694444759,6102.0
27.920138888929,86.975972222537,6127.0
27.920138888929,86.976250000315,6141.0
27.920138888929,86.976527778093,6169.0
27.920138888929,86.976805555871,6222.0
27.920138888929,86.977083333649,6249.0
27.920138888929,86.977361111427,6273.0
27.920138888929,86.977638889205,6300.0
27.920138888929,86.977916666983,6325.0
27.920138888929,86.978194444761,6340.0
27.920138888929,86.978472222539,6356.0
27.920138888929,86.978750000317,6386.0
27.920138888929,86.979027778095,6421.0
27.920138888929,86.979305555873,6463.0
27.920138888929,86.979583333651,6518.0
27.920138888929,86.979861111429,6565.0
27.920138888929,86.980138889207,6605.0
27.920138888929,86.980416666985,6630.0
27.920138888929,86.980694444763,6642.0
27.920138888929,86.980972222541,6645.0
27.920138888929,86.981250000319,6642.0
27.920138888929,86.981527778097,6641.0
27.920138888929,86.981805555875,6635.0
27.920138888929,86.982083333653,6624.0
27.920138888929,86.982361111431,6621.0
27.920138888929,86.982638889209,6615.0
27.920138888929,86.982916666987,6603.0
27.920138888929,86.983194444765,6594.0
27.920138888929,86.983472222543,6580.0
27.920138888929,86.983750000321,6572.0
27.920138888929,86.984027778099,6568.0
27.920138888929,86.984305555877,6556.0
27.920138888929,86.984583333655,6538.0
