latitude,longitude,height
38.748888900048,-9.108611122142,45.599
38.748888900048,-9.108333344364,45.965
38.748888900048,-9.108055566586,44.807
38.748888900048,-9.107777788808,42.009
38.748888900048,-9.10750001103,36.503
38.748888900048,-9.107222233252,34.713
38.748888900048,-9.106944455474,32.153
38.748888900048,-9.106666677696,28.552
38.748888900048,-9.106388899918,25.513
38.748888900048,-9.10611112214,22.251
38.748888900048,-9.105833344362,20.764
38.748888900048,-9.105555566584,24.994
38.748888900048,-9.105277788806,30.444
38.748888900048,-9.105000011028,29.916
38.748888900048,-9.10472223325,31.899
38.748888900048,-9.104444455472,34.943
38.748888900048,-9.104166677694,37.969
38.748888900048,-9.103888899916,33.151
38.748888900048,-9.103611122138,36.258
38.748888900048,-9.10333334436,38.646
38.748888900048,-9.103055566582,34.056
38.748888900048,-9.102777788804,31.731
38.748888900048,-9.102500011026,28.48
38.748888900048,-9.102222233248,23.931
38.748888900048,-9.10194445547,21.969
38.748888900048,-9.101666677692,22.392
38.748888900048,-9.101388899914,23.146
38.748888900048,-9.101111122136,23.499
38.748888900048,-9.100833344358,24.6
38.748888900048,-9.10055556658,25.408
38.748888900048,-9.100277788802,25.592
38.748888900048,-9.100000011024,24.991
38.748888900048,-9.099722233246,22.41
38.748888900048,-9.099444455468,12.055
38.748888900048,-9.09916667769,6.917
38.748888900048,-9.098888899912,4.71
38.748888900048,-9.098611122134,4.628
38.748888900048,-9.098333344356,3.492
38.74861112227,-9.108611122142,49.072
38.74861112227,-9.108333344364,48.533
38.74861112227,-9.108055566586,46.576
38.74861112227,-9.107777788808,41.771
38.74861112227,-9.10750001103,39.368
38.74861112227,-9.107222233252,37.322
38.74861112227,-9.106944455474,34.355
38.74861112227,-9.106666677696,30.723
38.74861112227,-9.106388899918,24.881
38.74861112227,-9.10611112214,20.247
38.74861112227,-9.105833344362,20.339
38.74861112227,-9.105555566584,24.198
38.74861112227,-9.105277788806,29.426
38.74861112227,-9.105000011028,27.98
38.74861112227,-9.10472223325,32.496
38.74861112227,-9.104444455472,38.61
38.74861112227,-9.104166677694,40.237
38.74861112227,-9.103888899916,34.914
38.74861112227,-9.103611122138,35.925
38.74861112227,-9.10333334436,34.019
38.74861112227,-9.103055566582,35.025
38.74861112227,-9.102777788804,32.697
38.74861112227,-9.102500011026,25.895
