latitude,longitude,height
38.705833344477,-9.374166677666,35.02
38.705833344477,-9.373888899888,35.051
38.705833344477,-9.37361112211,34.175
38.705833344477,-9.373333344332,33.244
38.705833344477,-9.373055566554,30.965
38.705833344477,-9.372777788776,30.517
38.705833344477,-9.372500010998,29.549
38.705833344477,-9.37222223322,30.413
38.705833344477,-9.371944455442,30.628
38.705833344477,-9.371666677664,30.714
38.705833344477,-9.371388899886,31.158
38.705833344477,-9.371111122108,32.641
38.705833344477,-9.37083334433,33.82
38.705833344477,-9.370555566552,32.967
38.705833344477,-9.370277788774,32.392
38.705833344477,-9.370000010996,32.548
38.705833344477,-9.369722233218,33.457
38.705833344477,-9.36944445544,33.037
38.705833344477,-9.369166677662,32.284
38.705833344477,-9.368888899884,32.548
38.705833344477,-9.368611122106,32.524
38.705833344477,-9.368333344328,32.497
38.705833344477,-9.36805556655,32.542
38.705833344477,-9.367777788772,33.075
38.705833344477,-9.367500010994,33.124
38.705833344477,-9.367222233216,33.759
38.705833344477,-9.366944455438,33.628
38.705833344477,-9.36666667766,35.004
38.705833344477,-9.366388899882,36.451
38.705833344477,-9.366111122104,37.748
38.705833344477,-9.365833344326,38.274
38.705833344477,-9.365555566548,38.78
38.705833344477,-9.36527778877,39.599
38.705833344477,-9.365000010992,41.23
38.705833344477,-9.364722233214,40.545
38.705833344477,-9.364444455436,40.815
38.705833344477,-9.364166677658,44.4
38.705833344477,-9.36388889988,50.47
38.705555566699,-9.374166677666,34.308
38.705555566699,-9.373888899888,34.191
38.705555566699,-9.37361112211,33.617
38.705555566699,-9.373333344332,32.526
38.705555566699,-9.373055566554,30.491
38.705555566699,-9.372777788776,30.148
38.705555566699,-9.372500010998,30.115
38.705555566699,-9.37222223322,29.318
38.705555566699,-9.371944455442,30.525
38.705555566699,-9.371666677664,31.549
38.705555566699,-9.371388899886,33.834
38.705555566699,-9.371111122108,35.193
38.705555566699,-9.37083334433,32.613
38.705555566699,-9.370555566552,30.896
38.705555566699,-9.370277788774,31.305
38.705555566699,-9.370000010996,31.329
38.705555566699,-9.369722233218,33.118
38.705555566699,-9.36944445544,32.192
38.705555566699,-9.369166677662,33.611
38.705555566699,-9.368888899884,33.6
38.705555566699,-9.368611122106,33.088
38.705555566699,-9.368333344328,32.964
38.705555566699,-9.36805556655,33.436
38.705555566699,-9.367777788772,33.011
38.705555566699,-9.367500010994,33.263
38.705555566699,-9.367222233216,33.097
38.705555566699,-9.366944455438,34.37
38.705555566699,-9.36666667766,35.481
38.705555566699,-9.366388899882,36.218
38.705555566699,-9.366111122104,36.414
38.705555566699,-9.365833344326,37.983
38.705555566699,-9.365555566548,40.441
38.705555566699,-9.36527778877,41.433
38.705555566699,-9.365000010992,41.801
38.705555566699,-9.364722233214,41.064
38.705555566699,-9.364444455436,42.533
38.705555566699,-9.364166677658,44.752
38.705555566699,-9.36388889988,49.237
38.705277788921,-9.374166677666,38.027
38.705277788921,-9.373888899888,36.049
38.705277788921,-9.37361112211,35.232
38.705277788921,-9.373333344332,31.761
38.705277788921,-9.373055566554,30.556
38.705277788921,-9.372777788776,30.14
38.705277788921,-9.372500010998,30.262
38.705277788921,-9.37222223322,29.647
38.705277788921,-9.371944455442,30.308
38.705277788921,-9.371666677664,32.662
38.705277788921,-9.371388899886,33.119
38.705277788921,-9.371111122108,34.791
38.705277788921,-9.37083334433,34.835
38.705277788921,-9.370555566552,32.923
38.705277788921,-9.370277788774,30.981
38.705277788921,-9.370000010996,30.736
38.705277788921,-9.369722233218,31.555
38.705277788921,-9.36944445544,31.626
38.705277788921,-9.369166677662,32.373
38.705277788921,-9.368888899884,34.278
38.705277788921,-9.368611122106,33.78
38.705277788921,-9.368333344328,35.985
38.705277788921,-9.36805556655,36.2
38.705277788921,-9.367777788772,37.194
38.705277788921,-9.367500010994,36.902
38.705277788921,-9.367222233216,35.548
38.705277788921,-9.366944455438,34.559
38.705277788921,-9.36666667766,35.008
38.705277788921,-9.366388899882,35.6
38.705277788921,-9.366111122104,36.743
38.705277788921,-9.365833344326,40.117
38.705277788921,-9.365555566548,38.837
38.705277788921,-9.36527778877,39.284
38.705277788921,-9.365000010992,39.412
38.705277788921,-9.364722233214,40.813
38.705277788921,-9.364444455436,42.971
38.705277788921,-9.364166677658,43.736
38.705277788921,-9.36388889988,45.357
38.705000011143,-9.374166677666,45.262
38.705000011143,-9.373888899888,42.441
38.705000011143,-9.37361112211,35.998
38.705000011143,-9.373333344332,31.828
38.705000011143,-9.373055566554,30.331
38.705000011143,-9.372777788776,30.481
38.705000011143,-9.372500010998,30.115
38.705000011143,-9.37222223322,29.721
38.705000011143,-9.371944455442,30.761
38.705000011143,-9.371666677664,33.103
38.705000011143,-9.371388899886,33.92
38.705000011143,-9.371111122108,34.788
38.705000011143,-9.37083334433,33.221
38.705000011143,-9.370555566552,30.678
38.705000011143,-9.370277788774,31.49
38.705000011143,-9.370000010996,31.361
38.705000011143,-9.369722233218,29.528
38.705000011143,-9.36944445544,30.145
38.705000011143,-9.369166677662,31.38
38.705000011143,-9.368888899884,33.517
38.705000011143,-9.368611122106,33.052
38.705000011143,-9.368333344328,35.155
38.705000011143,-9.36805556655,35.123
38.705000011143,-9.367777788772,34.743
38.705000011143,-9.367500010994,36.376
38.705000011143,-9.367222233216,35.589
38.705000011143,-9.366944455438,35.63
38.705000011143,-9.36666667766,34.349
38.705000011143,-9.366388899882,35.482
38.705000011143,-9.366111122104,36.431
38.705000011143,-9.365833344326,40.69
38.705000011143,-9.365555566548,37.565
38.705000011143,-9.36527778877,39.546
38.705000011143,-9.365000010992,39.188
38.705000011143,-9.364722233214,40.458
38.705000011143,-9.364444455436,42.955
38.705000011143,-9.364166677658,43.688
38.705000011143,-9.36388889988,44.653
38.704722233365,-9.374166677666,48.384
38.704722233365,-9.373888899888,47.321
38.704722233365,-9.37361112211,39.357
38.704722233365,-9.373333344332,33.477
38.704722233365,-9.373055566554,30.887
38.704722233365,-9.372777788776,29.965
38.704722233365,-9.372500010998,29.557
38.704722233365,-9.37222223322,29.739
38.704722233365,-9.371944455442,30.797
38.704722233365,-9.371666677664,31.73
38.704722233365,-9.371388899886,33.771
38.704722233365,-9.371111122108,34.674
38.704722233365,-9.37083334433,33.62
38.704722233365,-9.370555566552,31.101
38.704722233365,-9.370277788774,30.438
38.704722233365,-9.370000010996,30.381
38.704722233365,-9.369722233218,30.15
38.704722233365,-9.36944445544,30.104
38.704722233365,-9.369166677662,31.554
38.704722233365,-9.368888899884,33.646
38.704722233365,-9.368611122106,32.587
38.704722233365,-9.368333344328,33.715
38.704722233365,-9.36805556655,34.516
38.704722233365,-9.367777788772,34.359
38.704722233365,-9.367500010994,34.48
38.704722233365,-9.367222233216,33.972
38.704722233365,-9.366944455438,34.958
38.704722233365,-9.36666667766,34.81
38.704722233365,-9.366388899882,36.063
38.704722233365,-9.366111122104,36.224
38.704722233365,-9.365833344326,38.088
38.704722233365,-9.365555566548,37.554
38.704722233365,-9.36527778877,39.296
38.704722233365,-9.365000010992,39.504
38.704722233365,-9.364722233214,40.093
38.704722233365,-9.364444455436,42.103
38.704722233365,-9.364166677658,42.984
38.704722233365,-9.36388889988,45.292
38.704444455587,-9.374166677666,50.236
38.704444455587,-9.373888899888,46.208
38.704444455587,-9.37361112211,40.409
38.704444455587,-9.373333344332,35.384
38.704444455587,-9.373055566554,32.251
38.704444455587,-9.372777788776,30.234
38.704444455587,-9.372500010998,29.527
38.704444455587,-9.37222223322,31.056
38.704444455587,-9.371944455442,31.027
38.704444455587,-9.371666677664,30.131
38.704444455587,-9.371388899886,29.948
38.704444455587,-9.371111122108,30.897
38.704444455587,-9.37083334433,33.002
38.704444455587,-9.370555566552,32.752
38.704444455587,-9.370277788774,31.668
38.704444455587,-9.370000010996,31.434
38.704444455587,-9.369722233218,30.786
38.704444455587,-9.36944445544,31.37
38.704444455587,-9.369166677662,33.026
38.704444455587,-9.368888899884,33.169
38.704444455587,-9.368611122106,33.618
38.704444455587,-9.368333344328,34.733
38.704444455587,-9.36805556655,34.15
38.704444455587,-9.367777788772,34.255
38.704444455587,-9.367500010994,34.314
38.704444455587,-9.367222233216,33.699
38.704444455587,-9.366944455438,34.506
38.704444455587,-9.36666667766,35.587
38.704444455587,-9.366388899882,35.468
38.704444455587,-9.366111122104,35.746
38.704444455587,-9.365833344326,36.895
38.704444455587,-9.365555566548,38.573
38.704444455587,-9.36527778877,39.607
38.704444455587,-9.365000010992,39.097
38.704444455587,-9.364722233214,39.872
38.704444455587,-9.364444455436,40.475
38.704444455587,-9.364166677658,41.759
38.704444455587,-9.36388889988,46.752
38.704166677809,-9.374166677666,47.516
38.704166677809,-9.373888899888,44.125
38.704166677809,-9.37361112211,41.58
38.704166677809,-9.373333344332,37.121
38.704166677809,-9.373055566554,34.077
38.704166677809,-9.372777788776,30.66
38.704166677809,-9.372500010998,30.169
38.704166677809,-9.37222223322,31.077
38.704166677809,-9.371944455442,29.757
38.704166677809,-9.371666677664,29.417
38.704166677809,-9.371388899886,29.265
38.704166677809,-9.371111122108,30.038
38.704166677809,-9.37083334433,30.274
38.704166677809,-9.370555566552,30.868
38.704166677809,-9.370277788774,30.63
38.704166677809,-9.370000010996,31.084
38.704166677809,-9.369722233218,30.907
38.704166677809,-9.36944445544,31.155
38.704166677809,-9.369166677662,31.767
38.704166677809,-9.368888899884,31.324
38.704166677809,-9.368611122106,31.987
38.704166677809,-9.368333344328,35.946
38.704166677809,-9.36805556655,33.576
38.704166677809,-9.367777788772,33.696
38.704166677809,-9.367500010994,33.512
38.704166677809,-9.367222233216,34.593
38.704166677809,-9.366944455438,34.929
38.704166677809,-9.36666667766,35.429
38.704166677809,-9.366388899882,35.24
38.704166677809,-9.366111122104,35.814
38.704166677809,-9.365833344326,37.256
38.704166677809,-9.365555566548,39.344
38.704166677809,-9.36527778877,40.586
38.704166677809,-9.365000010992,39.389
38.704166677809,-9.364722233214,41.08
38.704166677809,-9.364444455436,41.302
38.704166677809,-9.364166677658,42.266
38.704166677809,-9.36388889988,47.115
38.703888900031,-9.374166677666,46.984
38.703888900031,-9.373888899888,44.637
38.703888900031,-9.37361112211,42.003
38.703888900031,-9.373333344332,37.797
38.703888900031,-9.373055566554,33.539
38.703888900031,-9.372777788776,29.236
38.703888900031,-9.372500010998,30.015
38.703888900031,-9.37222223322,31.362
38.703888900031,-9.371944455442,30.957
38.703888900031,-9.371666677664,30.155
38.703888900031,-9.371388899886,29.903
38.703888900031,-9.371111122108,29.904
38.703888900031,-9.37083334433,29.885
38.703888900031,-9.370555566552,30.066
38.703888900031,-9.370277788774,31.097
38.703888900031,-9.370000010996,31.318
38.703888900031,-9.369722233218,30.62
38.703888900031,-9.36944445544,30.685
38.703888900031,-9.369166677662,30.778
38.703888900031,-9.368888899884,31.449
38.703888900031,-9.368611122106,33.926
38.703888900031,-9.368333344328,34.578
38.703888900031,-9.36805556655,33.817
38.703888900031,-9.367777788772,33.858
38.703888900031,-9.367500010994,33.559
38.703888900031,-9.367222233216,34.315
38.703888900031,-9.366944455438,35.626
38.703888900031,-9.36666667766,36.909
38.703888900031,-9.366388899882,36.042
38.703888900031,-9.366111122104,35.77
38.703888900031,-9.365833344326,37.863
38.703888900031,-9.365555566548,42.067
38.703888900031,-9.36527778877,44.148
38.703888900031,-9.365000010992,44.812
38.703888900031,-9.364722233214,44.829
38.703888900031,-9.364444455436,43.324
38.703888900031,-9.364166677658,43.026
38.703888900031,-9.36388889988,45.761
38.703611122253,-9.374166677666,43.752
38.703611122253,-9.373888899888,42.526
38.703611122253,-9.37361112211,39.48
38.703611122253,-9.373333344332,36.753
38.703611122253,-9.373055566554,32.095
38.703611122253,-9.372777788776,29.047
38.703611122253,-9.372500010998,30.176
38.703611122253,-9.37222223322,30.256
38.703611122253,-9.371944455442,29.925
38.703611122253,-9.371666677664,30.09
38.703611122253,-9.371388899886,30.331
38.703611122253,-9.371111122108,29.972
38.703611122253,-9.37083334433,29.464
38.703611122253,-9.370555566552,29.693
38.703611122253,-9.370277788774,30.71
38.703611122253,-9.370000010996,30.592
38.703611122253,-9.369722233218,30.703
38.703611122253,-9.36944445544,30.536
38.703611122253,-9.369166677662,31.359
38.703611122253,-9.368888899884,31.785
38.703611122253,-9.368611122106,32.394
38.703611122253,-9.368333344328,32.516
38.703611122253,-9.36805556655,32.989
38.703611122253,-9.367777788772,34.397
38.703611122253,-9.367500010994,34.509
38.703611122253,-9.367222233216,34.848
38.703611122253,-9.366944455438,36.138
38.703611122253,-9.36666667766,35.328
38.703611122253,-9.366388899882,36.936
38.703611122253,-9.366111122104,37.416
38.703611122253,-9.365833344326,39.14
38.703611122253,-9.365555566548,43.343
38.703611122253,-9.36527778877,48.138
38.703611122253,-9.365000010992,49.883
38.703611122253,-9.364722233214,50.719
38.703611122253,-9.364444455436,48.52
38.703611122253,-9.364166677658,46.688
38.703611122253,-9.36388889988,48.784
38.703333344475,-9.374166677666,42.661
38.703333344475,-9.373888899888,40.952
38.703333344475,-9.37361112211,37.131
38.703333344475,-9.373333344332,34.235
38.703333344475,-9.373055566554,30.816
38.703333344475,-9.372777788776,29.288
38.703333344475,-9.372500010998,30.181
38.703333344475,-9.37222223322,28.992
38.703333344475,-9.371944455442,29.285
38.703333344475,-9.371666677664,29.513
38.703333344475,-9.371388899886,29.57
38.703333344475,-9.371111122108,29.664
38.703333344475,-9.37083334433,29.472
38.703333344475,-9.370555566552,29.792
38.703333344475,-9.370277788774,29.581
38.703333344475,-9.370000010996,29.659
38.703333344475,-9.369722233218,29.909
38.703333344475,-9.36944445544,31.193
38.703333344475,-9.369166677662,31.629
38.703333344475,-9.368888899884,32.681
38.703333344475,-9.368611122106,32.351
38.703333344475,-9.368333344328,32.573
38.703333344475,-9.36805556655,33.371
38.703333344475,-9.367777788772,33.484
